Experience,Salary
1,20000
2,24000
3,28000
4,32000
5,36000
6,40000
7,44000
8,48000
9,52000
10,56000
11,60000
12,64000
13,68000
14,72000
15,76000
16,80000
17,84000
18,88000
19,92000
20,96000
21,100000
22,104000
23,108000
24,112000
25,116000
26,120000
27,124000
28,128000
29,132000
30,136000
31,140000
32,144000
33,148000
34,152000
35,156000
36,160000
37,164000
38,168000
39,172000
40,176000
41,180000
42,184000
43,188000
44,192000
45,196000
46,200000
47,204000
48,208000
49,212000
50,216000
51,220000
52,224000
53,228000
54,232000
55,236000
56,240000
57,244000
58,248000
59,252000
60,256000
61,260000
62,264000
63,268000
64,272000
65,276000
66,280000
67,284000
68,288000
69,292000
70,296000
71,300000
72,304000
73,308000
74,312000
75,316000
76,320000
77,324000
78,328000
79,332000
80,336000
81,340000
82,344000
83,348000
84,352000
85,356000
86,360000
87,364000
88,368000
89,372000
90,376000
91,380000
92,384000
93,388000
94,392000
95,396000
96,400000
97,404000
98,408000
99,412000
100,416000
